Restaurant_id,hours_open_sunday,hours_open_monday,hours_open_tuesday,hours_open_wednesday,hours_open_thursday,hours_open_friday,hours_open_saturday,hours_close_sunday,hours_close_monday,hours_close_tuesday,hours_close_wednesday,hours_close_thursday,hours_close_friday,hours_close_saturday
uyghur-bistro-houston,1100,1100,1100,1100,1100,1100,1100,2130,2130,2130,2130,2130,2130,2130
bosscat-kitchen-and-libations-houston,1100,1100,1100,1100,1100,1100,1100,2300,2300,2300,0200,0200,0200,1500
cafe-ginger-uptown-houston-3,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
mezza-grille-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
indieats-houston,1100,1100,1100,1100,1100,1100,1100,2230,2230,2230,2230,0000,0000,2230
calypto-burger-houston-2,1100,1100,1100,1100,1100,1100,1200,1900,1900,1900,1900,2000,2000,1800
izakaya-houston,1700,1700,1700,1700,1700,1200,1200,2300,2300,2300,0000,0000,0000,2300
local-foods-houston-4,1000,1000,1000,1000,1000,1000,1000,2100,2100,2100,2100,2100,2100,2100
harolds-houston-5,,1100,1100,1100,1100,1000,1000,,2100,2100,2200,2200,2200,2000
cowboys-and-indians-tex-in-kitchen-houston,1100,1100,1100,1100,1100,0800,0800,2100,2100,2100,2100,0000,0000,2100
perbacco-houston,1100,1100,1100,1700,1700,1700,,1430,1430,1430,2100,2100,2100,
the-general-public-houston,1100,1100,1100,1100,1100,1030,1030,0000,0000,0000,0000,0200,0200,0000
liberty-kitchen-and-oysterette-houston,1100,1100,1100,1100,1100,0900,0900,2200,2200,2200,2200,2300,2300,2100
izakaya-wa-houston,,1730,1730,1730,1730,1730,1700,,2200,2200,2200,2300,2300,2100
house-of-bowls-houston,1100,,1100,1100,1100,1100,1100,2200,,2200,2200,2300,2300,2130
foreign-policy-food-truck-houston-19,,,,1100,,,,,,,1400,,,
helen-ts-soul-food-cafe-houston,,,,1100,1100,1000,1000,,,,1800,1800,1700,1700
m-and-m-grill-houston,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2200,2300,2300,
city-acre-brewing-houston,1600,,1600,1600,1100,1100,1100,2200,,2200,2200,2300,2300,2000
steak-48-houston-2,1600,1600,1600,1600,1600,1600,1600,2200,2200,2200,2200,2300,2300,2200
che-inka-houston,1030,1030,1030,1030,1030,1030,1030,2130,2130,2130,2130,2230,2230,2130
moku-bar-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2100,2100,2100
karbach-brewing-company-houston,1100,1100,1100,1100,1100,1100,1100,2100,2130,2130,2130,2130,2130,2100
maba-pan-asian-diner-houston,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2200,2200,2200,
adair-kitchen-houston,0700,0700,0700,0700,0700,0800,0800,2200,2200,2200,2200,2200,2200,2100
gumbo-jeauxs-houston-4,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2000,2000,1800,
uchi-houston,1700,1700,1700,1700,1700,1700,1700,2200,2200,2200,2200,2300,2300,2200
thai-jasmine-restaurant-houston,1100,1100,1100,1100,1100,1100,,2130,2130,2130,2130,2130,2130,
helens-kitchen-houston,1100,1100,1100,1100,1000,1000,,2000,2000,2000,2000,2100,2100,
south-bank-seafood-bar-houston,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0200,0200,2200
ramen-bar-ichi-houston,,1800,1800,1800,1800,1700,1700,,2200,2200,2200,2200,2200,2100
texas-shrimp-shack-houston,1500,1500,1500,1500,1500,1200,1200,2200,2200,2200,2200,2200,2200,2100
simply-greek-houston-7,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
crispy-or-grilled-houston,,1800,1800,1800,1800,1345,,,0100,0100,0200,0230,0230,
rachels-cafe-houston,1100,1100,1100,1100,1100,1130,,1800,1800,1800,1800,1800,1800,
backstreet-café-houston-2,1100,1100,1100,1100,1100,1000,1000,2200,2200,2200,2200,2300,2300,2100
prohibition-supperclub-and-bar-houston,1600,,1600,1600,1600,1600,1030,0000,,0000,0200,0200,0200,1445
sabas-grill-and-wok-houston,1100,1100,1100,1100,1100,,1100,2100,2100,2100,2100,1530,,2100
culichi-town-houston-11,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0000,0000,0000
love-buzz-houston-4,1600,1600,1600,1600,1600,1200,1200,0200,0200,0200,0200,0300,0300,0200
biryani-factory-houston-2,1130,,1130,1130,1130,1130,1130,2200,,2200,2200,2200,2200,2200
the-stuffed-baked-potato-factory-houston-2,,1100,1100,1100,1100,1100,,,1900,1900,1900,1900,1900,
niu-yi-zui-lamen-houston,,1030,1030,1030,1030,1030,1030,,2130,2130,2130,2130,2130,2130
qins-noodle-kitchen-houston,1100,1100,1100,1100,1100,1100,1100,2100,2130,2100,2100,2100,2100,2100
ettas-little-cooking-school-houston,,,,,,,1100,,,,,,,1600
ramen-tatsu-ya-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
irmas-southwest-grill-houston,1700,1700,1700,1700,1700,1700,,2100,2100,2100,2100,2100,2100,
the-raven-grill-houston,1700,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2100
chef-on-the-run-houston,1100,1100,1100,1100,1100,1100,1200,0200,0200,0200,0200,0300,0300,0300
caracol-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2100
las-palomas-mexican-restaurant-houston-8,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2200,2200,
super-chicken-houston,1030,1030,1030,1030,1030,,,1400,1400,1400,1400,1400,,
houstons-restaurant-houston-2,1100,1100,1100,1100,1100,1130,1100,2130,2130,2130,2130,2200,2200,2130
the-hay-merchant-houston,1500,1500,1500,1500,1500,1100,1100,0200,0200,0200,0200,0200,0200,0200
weights-measures-houston-2,0700,0700,0700,0700,0700,0700,0700,2200,2200,2200,2200,2300,2300,1500
the-stuffed-baked-potato-factory-houston-3,,1100,1100,1100,1100,1100,,,2000,2000,2000,2000,2000,
mein-restaurant-houston,,1700,1700,1700,1700,1700,1700,,2200,2200,2200,2300,2300,2200
eloise-nichols-grill-and-liquors-houston-2,0700,0700,0700,0700,0700,1000,1000,2100,2200,2200,2200,2300,2300,2100
ginger-and-fork-houston,,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2300,2300,1500
old-saigon-cafe-houston,,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2200,2200,2200
aim-thai-restaurant-houston,,1000,1000,1000,1000,1000,1000,,2000,2000,2000,2000,2000,2000
north-shore-poke-co-houston-5,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
unos-pnches-tacos-houston,0600,0600,0600,0600,0600,0700,0700,1900,1900,1900,1900,1900,1900,1900
casian-crawfish-houston,1130,,1130,1130,1130,1130,1200,2030,,2030,2030,2200,2200,2030
cafeza-houston,0700,0700,0700,0700,0700,0700,0700,2300,2200,2200,2200,0000,0000,2200
phil-and-dereks-houston-5,1100,1100,1100,1100,1100,1030,1030,2200,2200,2200,2200,0000,0000,2200
district-7-grill-houston-3,0830,0830,0830,0830,0830,0830,0900,2200,2200,2200,2200,0000,0000,2100
pappadeaux-seafood-kitchen-houston-12,0900,0900,0900,0900,0900,0900,0900,2100,2100,2100,2100,2100,2100,2100
sage-houston-2,1700,1700,1700,1700,1700,1700,1700,2200,2200,2200,2200,2200,2100,2100
borgo-food-station-houston,0730,0730,0730,0730,0730,0800,,1900,1900,1900,1900,1900,1800,
tainan-bistro-houston-2,1030,1030,1030,1030,1030,1030,1030,2100,2100,2100,2100,2100,2100,2100
henderson-heights-houston,1500,1500,1500,1500,1500,1100,1100,0200,0200,0200,0200,0200,0200,0200
vic-and-anthonys-steakhouse-houston,1100,1100,1100,1100,1100,1700,1700,2200,2200,2200,2200,2300,2300,2200
bamboo-china-cafe-houston-2,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2230,2230,2200
hearsay-on-the-green-houston,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0200,0200,2300
hopdoddy-burger-bar-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
banh-somtum-houston-3,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2100,2100,2100
district-7-grill-houston-5,1100,1100,1100,1100,1100,1030,,1530,2100,2100,2100,2100,2100,
captain-toms-seafood-and-oyster-bar-houston,1100,1100,1100,1100,1100,1100,1100,2300,2300,2300,2300,2300,2300,2300
island-grill-houston-6,0700,0700,0700,0700,0700,0700,0800,2100,2100,2100,2100,2100,2100,1630
pura-coffee-houston,0630,0630,0630,0630,0630,0730,0730,1700,1700,1700,1700,1700,1700,1700
pappadeaux-seafood-kitchen-houston-14,0900,0900,0900,0900,0900,0900,0900,2130,2130,2130,2130,2130,2130,2130
lims-chicken-houston,1130,1130,1130,1130,1130,1130,1130,2200,2200,2200,2200,2300,2300,2200
yauatcha-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2300,2300,2300,2200
central-texas-bar-b-q-houston,1000,1000,1000,1000,1000,,,1500,1500,1500,1500,1500,,
agu-ramen-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
tarka-indian-kitchen-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
massas-south-coast-grill-houston,1100,1100,1100,1100,1100,1700,,2100,2100,2100,2100,2100,2100,
sleepy-po-boys-houston,1100,1100,1100,1100,1100,1100,1100,0200,0000,0000,0000,0200,0200,2000
foundation-room-houston-3,,1700,1700,1700,1700,1700,,,0000,0000,0000,0100,0100,
the-original-marinis-empanada-house-houston,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2200,2200,
neils-bahr-houston,1600,1600,1600,1600,1600,1400,1600,0200,0200,0200,0200,0200,0200,0200
ninfas-mexican-restaurant-houston-3,1100,1100,1100,1100,1100,1100,1100,2130,2130,2130,0000,0000,0000,2130
buffburger-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
gyro-king-houston,1100,1100,1100,1100,1100,1100,1200,2300,2300,2300,2300,2300,2300,2100
wokker-houston,1700,1700,1700,1700,1700,1400,,2200,2200,2200,2200,2200,2200,
hobos-sandwich-shop-houston,1030,1030,1030,1030,1030,1100,,1800,1800,1800,1800,1800,1600,
lotus-seafood-market-houston,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100,
peli-deli-houston-3,0700,0700,0700,0700,0700,,,1500,1500,1500,1500,1500,,
tamashi-ramen-and-sushi-houston-6,1100,1100,1100,1100,1100,1200,1200,2130,2130,2130,2130,2200,2200,2100
sterling-house-houston,1600,1600,1600,1600,1600,1200,1200,0200,0200,0200,0200,0200,0200,0200
nam-eatery-houston,1000,1000,1000,1000,1000,1000,,2000,2000,2000,2000,2000,2000,
pepper-twins-houston,,1630,1630,1630,1630,1630,1630,,2100,2100,2100,2100,2100,2100
salmontin-houston-2,,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2200,2200,1500
under-the-volcano-houston,1400,1400,1400,1400,1300,1300,1000,0200,0200,0200,0200,0200,0200,0200
pepper-twins-houston-6,,1630,1630,1630,1630,1630,1630,,2100,2100,2100,2100,2100,2100
carniceria-aguascalientes-houston,0700,0700,0700,0700,0700,0600,0600,2200,2200,2200,2200,2200,2200,2200
seasons-52-houston-3,1100,1100,1100,1100,1100,1100,1000,2200,2200,2200,2200,2300,2300,2100
osso-and-kristalla-houston-2,0700,0700,0700,0700,0700,1000,1000,2200,2200,2200,2200,2300,2300,2100
nola-poboys-houston,1100,1100,1100,1100,1100,1100,1200,2100,2100,2100,2100,2100,2100,1800
peru-gourmet-houston-3,,1100,1100,1100,1100,1100,1200,,2000,2000,2000,2100,2100,1600
gyu-kaku-japanese-bbq-houston-2,1030,1030,1030,1030,1030,1030,1030,2230,2230,2230,2230,2330,2330,2230
uberrito-houston-6,1045,1045,1045,1045,1045,1045,1045,2200,2200,2200,2200,2200,2200,2100
the-del-houston,1100,1100,1100,1100,1100,1000,1000,2200,2200,2200,2200,2300,2300,2100
mamas-seafood-houston,1100,1100,1100,1100,1100,1100,,1900,1900,1900,1900,2000,1900,
tapesters-grill-houston-2,0700,0700,0700,0700,0700,0730,0830,2100,2100,2100,2100,2100,2100,1400
dot-coffee-shop-houston,0400,0400,0400,0400,0400,0400,0400,0359,0359,0359,0359,0359,0359,0359
angelas-oven-houston-3,,0700,0700,0700,0700,0800,,,1400,1400,1400,1400,1400,
on-the-kirb-houston-2,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0000,0000,0000
ibiza-food-and-wine-bar-houston-2,,1100,1100,1100,1100,1700,1700,,2200,2200,2200,2300,2300,2100
boca2-gastro-bar-and-bites-houston,1100,1100,1100,1100,1100,1600,1600,2200,2200,2200,2300,0000,2300,2200
benjys-houston-2,1700,1700,1700,1700,1700,1700,1000,2100,2200,2200,2200,2200,2200,2000
caliente-houston-4,0700,0700,0700,0700,0700,0800,0800,2100,2100,2100,2100,2100,2100,2100
kasra-persian-grill-houston-2,1100,1100,1100,1100,1100,1100,1200,2200,2200,2200,2200,2300,2300,2200
andes-cafe-houston,,1100,1100,1100,1100,0900,0900,,2200,2200,2200,2200,2300,2000
flying-saucer-draught-emporium-houston-2,1100,1100,1100,1100,1100,1200,1200,0100,0100,0100,0200,0200,0200,0000
inferno-pizza-houston-2,1030,1030,1030,1030,1030,1030,1100,2200,2200,2200,2200,0000,0000,2200
the-cajun-house-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2200
leaf-and-grain-houston-2,1100,1100,1100,1100,1100,,,1500,1500,1500,1500,1500,,
briannas-restaurant-houston,1200,1200,1200,1200,1200,1200,,2030,2030,2030,2030,2030,2030,
paulies-houston,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100,
pappadeauxs-seafood-kitchen-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
brasserie-du-parc-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2100
pappas-bros-steakhouse-houston-4,1600,1600,1600,1600,1600,1600,,2200,2200,2200,2200,2300,2300,
broke-ass-pizza-houston-6,,1100,1100,1100,1100,1100,1300,,2200,2200,2200,2300,2300,2200
eastwoods-houston,,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2200,2200,2000
louisiana-fish-house-houston-2,1100,1100,1100,1100,1100,1100,1100,2130,2130,2130,2130,2200,2200,2000
tayeb-mandi-and-mediterranean-grill-houston,0900,0900,0900,0900,0900,0900,,2100,2100,2100,2100,2100,2100,
hughies-houston-2,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2200,0000,2300,
mi-recuerdo-colombian-and-mexican-restaurant-houston,,1100,1100,1100,1100,1100,1100,,1945,1945,1945,1945,1945,1545
casarez-houston,0800,0800,0800,0800,0800,0800,0800,2200,2200,2200,2200,2300,2300,2200
poke-bar-houston-9,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2100,2100,2100
ship-and-shield-houston-3,1500,1500,1500,1500,1500,1500,1500,0000,0000,0000,0200,0200,0200,0000
rays-real-pit-bbq-shack-houston-2,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2000,2000,2000,
julep-houston,1600,1600,1600,1600,1500,1500,1600,0200,0200,0200,0200,0200,0200,0200
burger-chan-houston,0700,0700,0700,0700,0700,,,1400,1400,1400,1400,1400,,
little-matts-houston-2,1030,1030,1030,1030,1030,1030,1030,2000,2000,2000,2000,2000,2000,2000
piola-houston,1100,1100,1100,1100,1100,1200,1200,2300,2300,2300,2300,0000,0000,2300
fm-kitchen-and-bar-houston-2,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0000,0000,0000
fadis-meyerland-mediterranean-grill-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2100
the-blue-fish-bayou-place-houston-2,1700,1700,1700,1700,1700,1200,1200,2230,2230,2230,2230,2330,2330,2230
the-district-houston-2,1030,1030,1030,1030,1030,1030,1030,2200,2200,2200,2200,2200,2200,2200
republic-diner-sojubang-houston-4,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2300,2300,2200
petrol-station-houston,1700,1400,1400,1400,1100,1100,1200,0000,0000,0000,0000,0000,0100,2200
italian-express-pizzeria-houston,1600,1600,1600,1600,1600,1200,1200,2200,2200,2200,2200,2200,2200,2100
helen-greek-food-and-wine-houston,,1100,1100,1100,1100,1100,1100,,2200,2200,2200,2300,2300,2100
golden-dumpling-house-houston,,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100
bibos-cafe-houston-2,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100,
jimees-bbq-houston,1100,1100,1100,1100,1100,,,1500,1500,1500,1500,1500,,
piggys-kitchen-and-bar-houston,,1100,1100,1100,1100,0900,0900,,2200,2200,2200,0000,0000,2100
dak-and-bop-houston,1700,1700,1700,1700,1130,1130,1130,2200,2200,2200,2200,2200,2200,1530
govindas-vegetarian-cuisine-houston,1700,1700,1700,1700,1700,1700,1700,2100,2100,2100,2100,2100,2100,2100
mala-sichuan-bistro-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
argentina-cafe-houston,1000,1000,1000,1000,1000,1000,1100,2100,2100,2100,2100,2100,2100,2000
the-nickel-sandwich-grill-houston,1100,1100,1100,1100,1100,1100,,1900,1900,1900,1900,1900,1700,
oporto-café-houston-2,1100,1100,1100,1100,1100,1600,1600,2300,2300,2300,2300,2300,2300,2200
relish-restaurant-and-bar-houston,1100,1100,1100,1100,1100,1730,,2100,2100,2100,2100,2200,2200,
m-and-m-hamburger-houston,1030,1030,1030,1030,1030,1030,,2000,2000,2000,2000,2000,2000,
aladdin-mediterranean-cuisine-houston,1030,1030,1030,1030,1030,1100,1100,2200,2200,2200,2200,2200,2200,2100
the-burger-joint-houston-10,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0400,0400,0000
piada-italian-street-food-houston-2,1045,1045,1045,1045,1045,1045,1045,2200,2200,2200,2200,2200,2200,2200
hungrys-houston-2,1100,1100,1100,1100,1100,0900,0900,2200,2200,2200,2200,2200,2200,2200
sozo-sushi-and-lounge-houston,1100,1100,1100,1100,1100,1200,1200,2200,2200,2200,2200,2300,2300,2200
best-donuts-houston-3,0430,0430,0430,0430,0430,0430,0430,1300,1300,1330,1330,1330,1330,1330
house-of-hoopz-bbq-and-crawfish-houston-3,1830,1830,1700,1800,1100,1200,1100,2200,2200,2200,2300,0000,0000,2200
holy-smokes-bar-b-que-houston,,,1100,1100,1100,1100,,,,1500,1500,1800,1600,
888-chinese-restaurant-houston-2,1000,1000,1000,1000,1000,1100,1100,2300,2300,2300,2300,2300,0000,0000
boombox-taco-houston,,1800,2000,1800,2000,1800,,,0000,0000,0230,0300,0300,
lets-noodle-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
lucilles-houston,,1100,1100,1100,1100,1600,1000,,2200,2200,2200,2200,2200,1500
burns-original-bbq-houston,,1030,1030,1030,1030,1030,,,1930,1930,1930,2000,2000,
café-rabelais-houston-2,1800,1800,1800,1800,1800,1800,,2100,2100,2100,2200,2200,2200,
akashi-asian-sushi-cuisine-and-wine-bar-houston-7,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2230,2230,2200
super-la-mexicana-houston,0600,0600,0600,0600,0600,0600,0600,2100,2100,2100,2100,2100,2100,2100
the-honeymoon-cafe-and-bar-houston,0700,0700,0700,0700,0700,1000,1000,2200,2200,2200,2300,0200,0200,2200
haabanero-houston,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2000,2000,1400,
asia-market-thai-lao-food-houston-2,1100,1100,1100,1100,1100,1000,1100,2000,2000,2000,2000,2000,2000,2000
gyu-kaku-japanese-bbq-houston,1030,1030,1030,1030,1030,1030,1030,2230,2230,2230,2230,2330,2330,2230
arabella-mediterranean-cuisine-houston,1100,1100,1100,1100,1100,,,1400,1400,1400,1400,1400,,
federal-american-grill-houston-3,1100,1100,1100,1100,1100,1100,1600,2200,2200,2200,2200,2300,2300,2100
trulucks-houston,1100,1100,1100,1100,1100,1200,1600,2200,2200,2200,2200,2300,2300,2200
brennans-of-houston-houston,1730,1730,1730,1730,1730,1730,1730,2200,2200,2200,2200,2200,2200,2200
kukuri-houston,,1730,1730,1730,1730,1730,1730,,2230,2230,2330,2330,2330,2230
pappys-cafe-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2100
brookstreet-bar-b-que-houston-2,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2200,2200,2000
polonia-restaurant-houston-3,,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2000
saeeds-mediterranean-grill-houston-3,1100,1100,1100,1100,1100,1100,1200,2100,2100,2100,2100,2100,2100,1800
maclanes-cafe-houston,1100,1100,1100,1100,1100,1100,1100,2100,2100,2100,2100,2100,2100,2100
just-dinner-houston-2,,1800,1800,1800,1800,1800,,,2100,2100,2100,2130,2130,
le-pams-house-of-creole-houston,,1100,1100,1100,1100,1100,1100,,1900,1900,1900,2000,1800,1600
banh-mi-etc-houston,1100,1100,1100,1100,1100,1100,,2100,2100,2100,2100,2100,2100,
surya-india-houston,,1700,1700,1700,1700,1700,1130,,2145,2145,2145,2145,2145,1400
island-sizzler-jamaican-rum-bar-and-grill-houston,1100,1100,1100,1100,1100,1100,1100,2300,2300,2300,2300,0200,0200,2300
